FID,x,y,NASIS_Pedo,overstory,undrstry,Overstory,UnderstoryConifer,Oi_cm,Oe_cm,Oa_cm,O_sumthk,epipedon,spod_inten,subgroup,soil_order,tex_fam,drain_cl,series,taxon_type,slope_perc,surf_tex,stoniness,depth_clas,depth_to_r,depth_cm,aspect_deg,hillsl_pos,slope_shp,tip_mnd,mu_sym,area_sym,rainfall_i,bedrock_ge,compnum,aachn,dem10m,downslpgra,eastness,greenrefl,landsatb1,landsatb2,landsatb3,landsatb7,maxc100,maxent,minc100,mirref,ndvi,northeastn,northness,northwestn,planc100,proc100,protection,relpos11,slp50,solar,tanc75
10,-79.649617,38.595782,10WV075UARSP003,"ACSA3,PIRU,PRSE2,BEALA","LIBE3,HAVI4",Mixed,n,1,3,0,4,ochric,1,spodic,inceptisol,l-sk,wd,Mandy,taxadjunct,22,cnsil,stv,d,200,102,322,backslope,lv,0,MfF,WV075,51,Dch,4,30.7737007,1165.979981,42.0326004,-0.890074,0.0702472,0.0726255,0.052844,0.0250861,0.0280439,0.149857,63.1939011,-0.102275,0.0848392,0.753219,-0.307072,0.455816,0.951686,-0.0843456,0.161909,0.118209,0.611503,22.4902,1318120,0.022469
11,-79.750777,38.597167,10WV075UELOV006,"FAGR,QUVE,BEALA,ACRU","FAGR,TSCA",Hardwood,y,2,0,3,5,ochric,0.5,typic,ultisol,fl,wd,Carrollton,series,37,sil,st,md,200,84,123,backslope,ll,0,MfF,WV075,51,Dch,2,21.5627003,1161.060059,30.8729992,0.99955,0,0.0742381,0.0546671,0.0334708,0.0494257,0.423319,30.1865005,0.135085,0,0.755896,0.728002,0.0299985,-0.685575,0.435462,0.0960313,0.176315,0.456812,33.6469002,1292070,-0.227999
12,-79.747083,38.599028,10WV075UELSP008,"MAAC,TSCA,FAGR,PRSE2,ACRU","FAGR,TSCA,MAAC",Mixed,y,3,5,14,22,folistic,2,--,spodosol,l-sk,wd,Wildell,series,23,cnvl,stv,md,200,63,312,backslope,--,0,MfF,WV075,51,Dch,3,53.3395996,1186.140015,49.6871986,-0.812506,0,0.0742381,0.052844,0.02844,0.040873,0.197603,71.2086029,0.0609198,0.0284471,0.818679,-0.162325,0.582952,0.986737,0.190433,0.0966625,0.0930004,0.564176,17.3260994,1334100,-0.0347173
13,-79.657112,38.598417,10WV075UAROV007,"ACSA3,PRSE2,BEALA","KALA,ACPE",Hardwood,n,3,2,3,8,ochric,0,typic,inceptisol,l-sk,wd,Mandy,series,15,sil,ns,d,200,102,21,backslope,lc,0,MfF,WV075,51,Dch,4,21.9880009,1143.319946,58.2843018,-0.690647,0.0240158,0.0710129,0.0546671,0.02844,0.0494257,-0.0290652,21.3575993,-0.271131,0.100022,0.784221,-0.999735,-0.723192,-0.0230163,-0.22597,-0.0311233,0.125139,0.321168,8.0213003,1422150,0.0240384
14,-79.750833,38.601306,10WV075UELOV014,"ACRU,NYSY","ACRU,PRSE2,FRAM2",Hardwood,n,3,5,0,8,ochric,0,typic,inceptisol,l-sk,wd,Mandy,series,33,cnsil,stx,md,200,45,9,backslope,vl,0,MfF,WV075,51,Dch,4,60.8296013,1181,29.9825001,0.984041,0,0.0742381,0.0564901,0.0334708,0.0643929,-0.0938866,18.3120003,-0.46729,0.16292,0.683916,0.821648,0.177944,-0.569995,-0.383671,-0.107679,0.182524,0.425227,33.5220985,1355410,0.158994
15,-79.751528,38.601806,10WV075UELOV020,"LITU,ACRU,NYSY","ACPE,ACRU",Hardwood,n,3,4,0,7,ochric,0.5,typic,ultisol,fl,wd,Carrollton,series,40,sil,st,md,200,93,19,backslope,vl,0,MfF,WV075,51,Dhs,2,83.2209015,1205.5,25.7317009,0.96075,0.13867,0.0774633,0.0583132,0.0401785,0.0601166,-0.0260427,25.3952007,-0.192775,0.249677,0.704531,0.483191,-0.277417,-0.875515,-0.164141,-0.0962229,0.16932,0.50175,40.5517006,1418940,0.0605706
16,-79.64879,38.60133,10WV075HLRSP006,"PIRU,BEALA,TSCA,QURU","FAGR,ACPE,PIRU",Mixed,y,1,8,0,9,ochric,1,spodic,inceptisol,fl,wd,Mandy,taxadjunct,11,cnsil,stv,md,200,75,25,backslope,ll,1,MfE,WV075,55,Dhs,4,38.0817986,1152.430054,28.5976009,-0.754318,0.0425083,0.0710129,0.0564901,0.0351477,0.0494257,0.366004,21.3586998,0.109924,0.100022,0.846153,-0.997606,-0.656509,0.0691572,0.267608,0.233975,0.133006,0.634336,30.4025993,1493860,-0.063496
17,-79.64879,38.60133,10WV075UAROV001,"PRSE2,ACSA3",--,Hardwood,n,2,0,0,2,ochric,2,--,spodosol,l-sk,wd,Wildell,series,35,cnvsil,stv,md,200,62,28,backslope,vv,0,MfF,WV075,51,Dch,3,38.0817986,1152.430054,28.5976009,-0.754318,0.0425083,0.0710129,0.0564901,0.0351477,0.0494257,0.366004,21.3586998,0.109924,0.100022,0.846153,-0.997606,-0.656509,0.0691572,0.267608,0.233975,0.133006,0.634336,30.4025993,1493860,-0.063496
18,-79.66504,38.60279,10WV075UAROV019,"PRSE2,TSCA,FAGR,ACSA3","FAGR,ACSA3",Mixed,n,3,4,0,7,ochric,0,typic,inceptisol,l-sk,wd,Mandy,series,43,cnsil,stv,md,200,55,64,backslope,vl,0,MfF,WV075,51,Dhs,4,79.1631012,1185.540039,27.0293007,0.787194,0.0036739,0.0710129,0.0473749,0.0267631,0.053702,0.0969386,5.0613999,0.0686001,0.132555,0.713938,0.992707,0.616706,-0.120552,0.0967761,0.0865617,0.141111,0.500932,37.6691017,1227600,-0.0485376
19,-79.66499,38.60288,10WV075UAROV002,"ACSA3,PRSE2,TIAM","FAGR,ACSA3",Hardwood,n,3,1,0,4,ochric,0,typic,inceptisol,l-sk,wd,Mandy,series,45,cnsil,stv,d,200,115,48,backslope,ll,0,MfF,WV075,51,Dhs,4,77.3781967,1183.51001,25.2301006,0.773078,0.0277143,0.0710129,0.0473749,0.0267631,0.053702,0.13461,5.0613999,0.0777371,0.16292,0.713938,0.995174,0.634311,-0.0981217,0.130258,0.0945538,0.140964,0.496398,38.8953018,1205730,-0.0735502
20,-79.750111,38.603945,10WV075UELOV002,"ACRU,NYSY,PRSE2,FRAM2","FAGR,NYSY,ACPE",Hardwood,n,4,5,0,9,ochric,0,typic,inceptisol,cl,wd,Mandy,taxadjunct,44,sil,stv,md,200,52,11,backslope,--,0,MfF,WV075,51,Dch,4,93.6204987,1205.469971,24.5363998,0.900583,0.142368,0.0742381,0.0564901,0.0351477,0.053702,0.18558,27.2721004,-0.159873,0.241002,0.806718,0.329441,-0.434685,-0.944176,-0.0727129,0.196054,0.173016,0.619495,42.7691994,1403270,0.0631042
21,-79.65257,38.60421,10WV075UAROV008,"PRSE2,PIRU,BELE","PIRU,FAGR",Mixed,y,4,0,2,6,ochric,0,typic,inceptisol,l-sk,wd,Mandy,series,20,cnl,ns,md,200,97,188,shoulder,vl,0,MfE,WV075,51,Dch,4,28.3505001,1115.98999,45.6357994,-0.0649491,0.201545,0.0710129,0.0583132,0.0301169,0.0472875,0.014585,7.4681001,-0.0497951,0.208468,0.808347,-0.751538,-0.997889,-0.65969,-0.0267496,0.0139168,0.128016,0.51724,20.8043995,1505390,0.0104259
22,-79.742445,38.606498,S12WV075003,"PIRU,TSCA,MAFR,FAGR,BELE",PIRU,Mixed,y,1,3,5,9,ochric,2,--,spodosol,cl,wd,Wildell,taxadjunct,24,cnsil,ns,md,200,88,255,backslope,ll,2,MfF,WV075,51,Dch,3,71.6076965,1176.680054,39.6865997,-0.998762,0.105383,0.0710129,0.0546671,0.0351477,0.0280439,0.0038394,71.6688004,-0.0643448,0.121711,0.756966,-0.741409,-0.0497441,0.671054,-0.0418034,-0.0137278,0.117513,0.507566,25.5345001,1380470,0.0120925
23,-79.659195,38.605639,10WV075UARSP002,"PIRU,ACSA3,PRSE2","FAGR,ACSA3",Mixed,n,3,5,5,13,ochric,1,spodic,inceptisol,l-sk,wd,Mandy,taxadjunct,48,cnl,stv,d,200,102,94,backslope,vv,0,MfE,WV075,51,Dch,4,15.8619003,1083.130005,19.0459995,0.984345,0.0720965,0.0661752,0.0564901,0.0317938,0.0387348,0.488166,90.3730011,-0.0807367,0.108697,0.801039,0.57141,-0.176252,-0.820665,0.438474,-0.0814602,0.213134,0.411873,49.8857002,1289330,-0.250173
24,-79.742916,38.606639,10WV075UELSP004,"PRSE2,TSCA,ACRU,PRSE2,BEAL2","TSCA,FAGR",Mixed,y,3,4,6,13,ochric,2,--,spodosol,l-sk,wd,Gauley,series,32,grl,stv,md,200,81,258,backslope,vv,0,MfF,WV075,51,Dch,3,64.1632996,1166.599976,36.424099,-0.999532,0.11278,0.0742381,0.0564901,0.0317938,0.0387348,0.0177157,79.635498,-0.0960899,0.115204,0.77805,-0.728409,-0.0305896,0.685142,-0.1069,0.0176198,0.124979,0.513749,26.3815002,1377700,0.0248853
25,-79.647768,38.606593,10WV075UAROV016,"ACSA3,PIRU,PRSE2","FAGR,ACSP2",Mixed,n,2,0,1,3,ochric,2,--,spodosol,l-sk,wd,Wildell,series,22,cnsil,ns,md,200,88,--,backslope,cl,0,MfF,WV075,51,Dch,3,31.1636009,1119.949951,33.7000999,-0.0510074,0.0850413,0.0661752,0.0546671,0.0301169,0.0387348,0.0958936,3.0093,-0.157324,0.0935149,0.78899,0.670114,0.998698,0.742258,0.0667139,-0.124371,0.154988,0.519945,31.6355,1172830,-0.0269937
26,-79.67774,38.60706,10WV075UAROV014,"PRSE2,FAGR,ACRU,BEALA","FAGR,ACSP2",Hardwood,n,4,5,0,9,ochric,2,--,spodosol,l-sk,wd,Wildell,series,22,cnvl,stv,md,200,83,350,backslope,lv,0,MfF,WV075,51,Dch,3,54.6458015,1160.73999,62.5056992,-0.242391,0.0073724,0.0726255,0.0564901,0.0351477,0.0494257,0.302057,5.0749998,-0.0658311,0.0653188,0.788088,0.514619,0.970179,0.857419,0.260067,-0.0295321,0.0727461,0.563801,16.6201,1303760,-0.0370845
27,-79.63503,38.60699,10WV075UAROV015,"QURU,PRSE2,PIRU,TSCA","PRSE2,TSCA,PIRU",Mixed,y,5,2,0,7,ochric,0,typic,inceptisol,l-sk,wd,Mandy,series,0,cnsil,stv,sh,200,39,7,shoulder,vv,0,MfF,WV075,49,Dch,4,50.3157997,1198.410034,29.0347996,-0.232637,0.114629,0.0726255,0.0564901,0.0385015,0.0494257,0.101031,8.9321003,-0.0287953,0.117373,0.767642,0.523202,0.972564,0.852209,-0.0132844,0.110886,0.131374,0.605229,35.4984016,1139560,-0.0076904
28,-79.640984,38.607124,10WV075UAROV003,"ACSA3,PRSE2,MAFR,PIRU","PIRU,KALA,PRSE2",Mixed,y,3,0,5,8,ochric,1,spodic,inceptisol,l-sk,wd,Mandy,taxadjunct,15,sil,ns,md,200,58,--,shoulder,cv,0,MfE,WV075,50,Dch,4,18.6023006,1132.609985,65.8930969,-0.687137,0.0147695,0.0742381,0.0564901,0.0351477,0.0472875,-0.108321,19.2252007,-0.428403,0.0956838,0.808062,0.0278486,0.726528,0.999612,-0.120856,-0.334109,0.128571,0.379883,19.6553993,1318270,0.0305726
29,-79.743473,38.6095,10WV075UELSP005,"TSCA,PRSE2,BEALA","FAGR,TSCA,KALA",Mixed,y,3,2,13,18,folistic,2,--,spodosol,l-sk,wd,Wildell,series,32,cnl,stv,d,200,105,263,backslope,--,0,MfF,WV075,51,Dch,3,53.824501,1144.579956,36.9950981,-0.945802,0.0850413,0.0710129,0.052844,0.0301169,0.0323202,0.0106586,73.8703995,-0.0069258,0.0544742,0.774401,-0.43916,0.324743,0.898409,-0.0025864,0.000392,0.128116,0.528271,28.8663006,1303670,-0.0022222
30,-79.65928,38.609443,WV075 TP Mandy cn-sil,--,--,Hardwood,n,1,0,0,1,ochric,1,spodic,inceptisol,l-sk,wd,Mandy,taxadjunct,45,cnsil,stv,md,200,91,240,backslope,lv,1,MfF,WV075,51,Dch,4,10.3654003,1077.699951,27.1522999,-0.652436,0.0517546,0.0726255,0.0619593,0.0351477,0.040873,0.160388,56.5819016,-0.0253374,0.0284471,0.772229,-0.997218,-0.757843,-0.0745382,0.160649,0.0348643,0.194466,0.461117,38.4726982,1507990,-0.0913978
31,-79.653834,38.610195,10WV075UARSP004,"PIRU,ACSA3,PRSE2","PIRU,FAGR",Mixed,y,2,1,0,3,ochric,1,spodic,inceptisol,fl,wd,Mandy,taxadjunct,30,cnl,ns,md,200,90,214,backslope,lc,0,MfF,WV075,51,Dch,4,4.0579801,1092.839966,38.4580994,-0.198708,0,0.0661752,0.0564901,0.0317938,0.0451493,0.126823,47.1487007,-0.126407,0,0.799112,-0.833512,-0.980059,-0.552501,0.107773,-0.0834259,0.15247,0.446297,29.5821991,1523950,-0.0516704
32,-79.655167,38.610278,10WV075UAROV020,"ACSA3,PRSE2,BEALA,PIRU","ACPE,PRSE2,BEALA",Mixed,n,4,3,0,7,ochric,0,typic,inceptisol,l-sk,wd,Mandy,series,45,cnvl,rb,md,200,58,72,backslope,vv,0,MfF,WV075,51,Dch,4,10.7887001,1099.619995,33.5297012,0.840699,0.0480561,0.0742381,0.0583132,0.0334708,0.0472875,0.5721,21.9734001,0.0493519,0.128218,0.773128,0.211565,-0.541503,-0.977364,0.544411,0.150825,0.149724,0.499591,29.5342999,1376470,-0.230527
33,-79.628694,38.610028,10WV075UARSP005,"PIRU,ACSA3",TSCA,Mixed,y,3,2,1,6,ochric,0,typic,inceptisol,l-sk,wd,Mandy,series,22,l,stv,md,200,73,298,shoulder,vv,0,MfE,WV075,49,Dch,4,43.9441986,1208.73999,57.8497009,-0.987229,0.103534,0.0742381,0.049198,0.0301169,0.0152148,0.163568,71.4854965,-0.04093,0.104359,0.779973,-0.585433,0.159307,0.81072,0.170197,-0.0657613,0.0666721,0.61279,18.118,1378910,-0.0283989
34,-79.733306,38.61175,10WV075UELOV008,"TSCA,FAGR,ACRU,MAAC","TSCA,FAGR,ACPE",Mixed,y,4,4,0,8,ochric,1,spodic,inceptisol,fl,wd,Mandy,taxadjunct,37,l,stv,md,200,93,33,backslope,--,0,MfF,WV075,51,Dhs,4,73.5470963,1183.089966,29.8736992,-0.575392,0.0591517,0.0710129,0.0546671,0.0317938,0.0365966,0.065948,64.3404007,-0.0031664,0.0978527,0.765779,0.171458,0.817878,0.985191,0.0529399,0.0185037,0.113731,0.513611,33.5912018,1185160,-0.0245654
35,-79.741631,38.612512,FS09WV075006,"TSCA, PIRU,PRSE2",--,Mixed,n,2,5,6,13,ochric,2,--,spodosol,l-sk,wd,Wildell,taxadjunct,0,grvsil,ns,vd,200,167,280,shoulder,ll,2,MfC,WV075,51,Dhs,3,63.2542,1151.280029,31.9076004,-0.958496,0.0591517,0.0726255,0.0546671,0.0317938,0.0344584,0.0876292,81.907402,0.0455904,0.060981,0.783539,-0.476164,0.285105,0.879357,0.0861453,0.0783844,0.130984,0.632721,32.8282013,1301860,-0.0281796
36,-79.6525,38.611889,10WV075UAROV009,"PRSE2,FAGR,ACSA3","ACPE,FAGR",Hardwood,n,5,2,0,7,ochric,1,spodic,inceptisol,l-sk,wd,Mandy,taxadjunct,45,cnsil,stx,md,200,90,--,shoulder,lv,0,MfF,WV075,51,Dch,4,15.3037996,1140.050049,23.3507004,0.683615,0,0.0677878,0.052844,0.0317938,0.0494257,0.765295,10.8014002,0.187251,0.0219403,0.853228,-0.0326857,-0.729843,-0.999466,0.345311,0.715213,0.1458,0.688465,31.9356995,1467480,-0.101421
37,-79.662584,38.612361,10WV075UARSP008,"PIRU,TSCA,ACSA3",--,Mixed,n,3,2,0,5,ochric,0,typic,inceptisol,l-sk,wd,Mandy,series,27,l,ns,d,200,102,232,backslope,vv,0,MfF,WV075,51,Dch,4,8.1835899,1074.52002,37.344799,-0.652573,0.0739457,0.0710129,0.051021,0.0317938,0.0237675,0.185397,54.0971985,-0.200663,0.0392917,0.677834,-0.997232,-0.757726,-0.0743589,0.187488,-0.165136,0.175653,0.445169,28.7996998,1453160,-0.0411053
38,-79.657441,38.612396,10WV075UAROV018,"FAGR,ACSA3,PRSE2",FAGR,Hardwood,n,1,0,0,1,ochric,0,typic,inceptisol,fl,wd,Mandy,taxadjunct,32,sil,stv,md,200,70,--,backslope,vv,0,MfE,WV075,51,Dch,4,1.39502,1106.459961,86.7780991,-0.978914,0.0850413,0.0742381,0.0564901,0.0334708,0.0579784,-0.119995,18.7544003,-0.615858,0.197623,0.787494,-0.836642,-0.204274,0.547749,-0.45217,-0.225783,0.15101,0.37452,12.7659998,1401550,0.0565288
39,-79.659271,38.612695,10WV075UAROV004,"FAGR,BEALA,PRSE2,ACSA3","PIRU,FAGR",Hardwood,y,5,0,0,5,ochric,0,typic,inceptisol,l-sk,wd,Mandy,series,40,cnsil,stv,md,200,75,--,backslope,lv,0,MfF,WV075,51,Dch,4,23.9810009,1119.609985,27.3120995,0.966566,0.0536039,0.082301,0.0656054,0.0569477,0.0921893,0.232811,12.6711998,0.0482275,0.173765,0.761378,0.502152,-0.256418,-0.864779,-0.0399251,0.236516,0.168657,0.553726,33.5634995,1384970,-0.0243937
40,-79.742278,38.613861,10WV075UELSP010,"BEALA,FAGR,TSCA","PIRU,TSCA,RHODO",Mixed,y,4,5,18,27,folistic,2,--,spodosol,l-sk,wd,Wildell,series,40,cnvl,stv,md,200,98,34,backslope,--,0,MfF,WV075,51,Dch,3,43.4957008,1112.349976,23.0501995,-0.929414,0,0.0710129,0.0546671,0.0368246,0.0344584,0.0957842,78.8142014,-0.0857472,0.0132646,0.806326,-0.396251,0.369038,0.918142,-0.0414872,0.104884,0.185175,0.549322,45.1063995,1198110,0.0213681
41,-79.679611,38.613222,10WV075UAROV010,"PRSE2,ACSA3,BEALA,MAFR","PRSE2,ACPE",Hardwood,n,4,3,2,9,ochric,0,typic,inceptisol,l-sk,wd,Mandy,series,25,cnl,stv,md,200,94,--,backslope,ll,0,MfF,WV075,51,Dhs,4,23.7003994,1076.26001,52.5894012,-0.943377,0.0443576,0.0694003,0.051021,0.0334708,0.0323202,0.0163133,10.8109999,-0.172498,0.0544742,0.767704,-0.432509,0.331723,0.90163,0.019843,-0.171757,0.1228,0.361154,25.7991009,1302980,-0.0069809
42,-79.676639,38.613222,10WV075UAROV011,--,--,Hardwood,n,3,1,1,5,ochric,0,typic,inceptisol,l-sk,wd,Mandy,series,25,cnsil,ns,d,200,104,312,shoulder,vv,0,MfF,WV075,51,Dhs,4,86.7809982,1133.189941,44.5031013,-0.722909,0.0443576,0.0726255,0.0546671,0.0317938,0.0387348,0.0311152,11.7110996,-0.172295,0.0935149,0.782671,-0.0226076,0.690944,0.999744,0.0172375,-0.180045,0.0972524,0.440171,24.6105003,1279410,-0.0111209
43,-79.661083,38.613389,10WV075UAROV017,"PIAB,ACSA3",FAGR,Hardwood,n,2,2,0,4,ochric,0,typic,inceptisol,l-sk,wd,Mandy,series,35,cnsil,stv,md,200,91,--,backslope,vv,0,MfF,WV075,51,Dch,4,35.5116005,1124.180054,28.2359009,-0.317988,0,0.0758507,0.0619593,0.0317938,0.0451493,0.0422598,13.0844002,-0.159577,0,0.76924,-0.895254,-0.948095,-0.445556,0.0368368,-0.053514,0.152551,0.513757,33.5686989,1540450,-0.0014625
44,-79.672612,38.613556,10WV075UAROV005,"MAFR,ACSA3,PRSE2","PRSE2,ACPE",Hardwood,n,4,3,0,7,ochric,0,typic,inceptisol,l-sk,wd,Mandy,series,45,cnl,stv,md,200,98,18,backslope,vv,0,MfF,WV075,51,Dch,4,91.177002,1127.349976,19.9871006,0.466351,0.0794935,0.0694003,0.0546671,0.0317938,0.0365966,0.260417,7.5683999,0.0925466,0.139062,0.790393,0.955266,0.8846,0.295747,0.143321,0.301263,0.155365,0.587197,48.5769997,1044980,-0.0619254
45,-79.679945,38.613944,10WV075UARSP009,"PIRU,FAGR,BEALA","PIRU,PRSE2,BEALA",Mixed,y,3,3,0,6,ochric,0,typic,inceptisol,l-sk,wd,Mandy,series,18,l,ns,d,200,90,32,footslope,ll,0,MfF,WV075,51,Dhs,4,12.6464005,1065.469971,173.1369934,-0.90714,0,0.0726255,0.049198,0.0301169,0.0280439,0.0259552,43.1610985,-0.206489,0.0262782,0.708453,-0.343878,0.420829,0.939014,0.0259976,-0.203877,0.12541,0.214752,13.1499996,1350290,-0.0034496
46,-79.681694,38.614083,10WV075UAROV012,"ACSA3,BEALA,PRSE2","BEALA,FAGR",Hardwood,n,4,2,0,6,ochric,1,spodic,inceptisol,fl,wd,Mandy,taxadjunct,34,sil,stv,d,200,109,114,backslope,ll,0,MfF,WV075,51,Dhs,4,30.4116001,1075.949951,32.1010017,0.959207,0.0203172,0.0758507,0.0546671,0.0385015,0.0622548,0.154763,16.6947002,-0.111925,0.178103,0.705783,0.478363,-0.282703,-0.878162,0.0885062,-0.0493918,0.153236,0.35616,29.2075996,1417370,-0.03774
47,-79.738194,38.61475,10WV075UELOV004,"ACSA3,ACRU","ACSP2,FAGR,ACSA3",Hardwood,n,3,0,0,3,ochric,0.5,typic,ultisol,fl,wd,Carrollton,series,30,sil,ns,d,200,125,118,backslope,vl,0,MfF,WV075,51,Dch,2,31.1774006,1120.640015,29.7686996,0.998782,0.0110709,0.0726255,0.0601362,0.0334708,0.0579784,0.0994798,13.9642,-0.197946,0.110866,0.754699,0.74114,0.0493471,-0.67135,0.0393179,-0.108787,0.173296,0.522614,35.4152985,1331970,0.0090247
