FID,Northing,Easting,LS_Pos,SMU,Measured,SSURGO_RV,ArcSIE_SSU,SS_Manual,SDM,OSD,twi_5m,slope_5m,mrvbf_5m,mrrtf_5m,aachn_5m,twi_10m,slope_10m,mrvbf_10m,mrrtf_10m,aachn_10m,elev10m,elev_5m,twi_30m,slope_30m,mrvbf_30m,mrrtf_30m,aachn_30m,elev_30m,twi_90m,slope_90m,mrvbf_90m,mrrtf_90m,aachn_90m,elev_90m
10,4259802.190999999600000,530559.030000000030000,FP,HcgAH,130.000000000000000,201.000000000000000,168.782042999999990,200.000000000000000,200.000000000000000,200.000000000000000,17.3453999,1.5101000,3.9834001,0.0107000,0.0000000,17.0447006,1.2141500,2.9888000,0.0084000,0.0000000,172.9089966,172.9479980,17.1261005,0.8583320,2.9356999,0.0094000,0.0000000,173.1170044,14.3998003,5.0764198,2.7865000,0.0037000,0.0000000,173.8540039
11,4259055.330000000100000,531349.883999999960000,FP,HcgAH,125.000000000000000,201.000000000000000,170.511519999999990,200.000000000000000,200.000000000000000,200.000000000000000,17.6257000,0.7500000,2.9819000,0.0125000,0.0000000,16.8358994,0.6386070,2.0044999,0.0095000,0.0000000,175.7610016,175.7429962,17.1770000,2.5251901,1.9764000,0.0053000,0.0000000,175.6849976,16.2208996,13.0188999,0.9201000,0.0024000,0.0000000,176.5019989
12,4262114.986999999700000,529899.344000000040000,FP,GacAW/AcmF,150.000000000000000,201.000000000000000,168.383270000000010,200.000000000000000,200.000000000000000,200.000000000000000,16.3778992,2.1203001,3.9677999,0.0202000,0.0000000,15.3210001,2.1605101,2.9888999,0.0260000,0.0000000,186.3329926,186.2530060,15.6357002,1.3995700,2.5251999,0.0034000,0.0000000,186.3329926,15.3699999,8.9812899,0.8986000,0.0005000,0.0000000,186.0410004
13,4261521.451999999600000,529231.116000000040000,FP,GacAW,140.000000000000000,201.000000000000000,169.853821000000010,200.000000000000000,200.000000000000000,200.000000000000000,17.8693008,0.9800000,3.6326001,0.0113000,0.0000000,15.4253998,0.7710310,2.5136001,0.0071000,0.0000000,170.5870056,170.5509949,17.0028992,4.3954902,1.8219000,0.0028000,0.0000000,170.6889954,12.8474998,9.5437698,0.9019000,0.0019000,0.0000000,174.0379944
14,4262047.974000000400000,528551.136000000060000,FP,GacAW,120.000000000000000,201.000000000000000,174.829453000000000,200.000000000000000,200.000000000000000,200.000000000000000,17.3269997,0.0200000,3.9705000,0.0554000,0.0000000,15.4323997,3.4806800,2.4307001,0.0488000,0.0000000,172.2510071,172.2579956,15.9273996,3.3449399,1.9342999,0.0302000,0.0000000,172.5440063,12.8863001,6.2280002,0.9838000,0.0047000,0.0000000,173.8849945
15,4260581.464999999900000,527693.707000000050000,FP,St,160.000000000000000,201.000000000000000,168.583603000000010,200.000000000000000,200.000000000000000,200.000000000000000,17.8747005,1.4601001,3.9853001,0.0258000,0.0000000,15.9390001,0.9719730,2.9874001,0.0340000,0.0000000,158.1329956,158.1660004,17.4899998,0.7205650,4.3375001,0.0076000,0.0000000,158.2729950,18.3806000,0.7574500,6.9383998,0.0055000,0.0000000,158.2769928
16,4261195.536000000300000,527174.027000000000000,FP,Bu,130.000000000000000,137.000000000000000,169.276688000000010,200.000000000000000,200.000000000000000,200.000000000000000,14.9230003,2.7507000,3.9949999,0.0682000,0.0000000,12.9806995,2.2953899,2.9790001,0.1037000,0.0000000,169.0469971,169.0910034,14.4394999,4.5321202,2.9154999,0.0144000,0.0000000,169.0059967,15.7656002,2.5519500,0.9803000,0.0021000,0.0000000,168.6690063
17,4258081.497000000400000,524264.446000000000000,FP,St,200.000000000000000,201.000000000000000,196.577698000000000,200.000000000000000,200.000000000000000,200.000000000000000,11.2882996,0.8700000,0.0520000,2.8336999,0.1553000,12.9624996,0.8800300,0.3777000,2.8227999,0.1716000,150.1159973,150.0959930,15.1910000,2.4038799,2.7932999,1.9252000,0.3150000,150.2100067,16.1779003,2.9962699,6.9642000,0.2923000,0.3542000,150.0099945
18,4257298.157999999800000,522076.194000000020000,FP,Cu,200.000000000000000,201.000000000000000,175.207245000000000,200.000000000000000,200.000000000000000,200.000000000000000,20.2029991,0.4900000,2.9862001,0.5650000,0.0350000,13.1175003,0.6475510,2.8492999,0.0265000,0.0473000,147.6620026,147.6600037,12.8348999,4.7400498,3.7993000,0.0047000,0.0000000,147.6069946,14.3746996,2.7582800,6.9730000,0.1459000,0.1772000,147.8269958
19,4258923.412999999700000,523702.495000000000000,FP,St,125.000000000000000,201.000000000000000,158.210037000000000,200.000000000000000,200.000000000000000,200.000000000000000,12.7742996,4.9840999,3.5644000,0.1118000,0.0000000,13.1983004,4.3983498,2.6156001,0.4155000,0.0000000,155.1529999,155.2519989,13.9924002,4.4514799,2.7851000,0.1769000,0.1079000,155.7070007,14.8178997,4.2218499,5.8834000,0.0157000,1.3368000,155.7070007
20,4258813.530000000300000,525329.055999999980000,FP,St,200.000000000000000,201.000000000000000,180.042205999999990,200.000000000000000,200.000000000000000,200.000000000000000,18.5338993,0.8200000,3.9365001,0.0330000,0.0014000,14.3523998,0.5111280,2.9583001,0.1470000,0.0000000,151.1820068,151.2010040,15.9772997,0.2521130,4.4510999,0.2702000,0.0000000,151.1430054,16.7029991,0.8472990,6.9833999,0.0155000,0.0000000,151.1459961
21,4258208.900000000400000,525304.008999999960000,FP,PeB,200.000000000000000,74.000000000000000,193.936752000000010,119.000000000000000,112.000000000000000,126.000000000000000,7.4418998,3.4312999,3.8685000,2.9461999,1.1422000,8.1928997,3.7242801,3.9732001,1.9610000,1.1022000,152.4290009,152.4579926,12.3852997,3.2823200,2.9863000,1.8571000,1.4766999,152.8229980,15.2880001,1.2730100,6.7217999,0.1821000,1.3769000,152.8229980
22,4258339.734000000200000,526434.574999999950000,FP,Cu,200.000000000000000,201.000000000000000,182.809631000000000,200.000000000000000,200.000000000000000,200.000000000000000,20.4867001,0.0200000,5.9366002,0.1625000,0.0000000,15.6982002,0.2186040,4.8235002,2.5346000,0.0568000,153.1759949,153.1640015,16.2619991,0.0637948,7.8143001,1.8513000,0.1716000,153.2180023,15.7896996,1.2890199,6.9805002,0.1761000,0.0278000,153.1549988
23,4258363.547000000300000,526654.180000000050000,FP,St/Cu,200.000000000000000,201.000000000000000,190.771210000000000,200.000000000000000,200.000000000000000,200.000000000000000,7.5468001,2.9509001,0.0926000,2.8622000,0.3269000,10.4373999,3.6665299,0.3337000,2.4679000,0.3745000,154.0390015,153.9579926,13.3627005,3.7667000,2.9662001,1.8515000,0.9053000,154.6219940,15.4997997,3.5872400,6.9211001,0.1580000,0.8483000,154.2810059
24,4258260.359000000200000,527014.013999999970000,FP,Cu,200.000000000000000,201.000000000000000,194.292601999999990,200.000000000000000,200.000000000000000,200.000000000000000,10.2428999,0.8300000,3.8958001,1.6493000,0.0508000,13.7886000,0.5905730,2.9353001,1.8458000,0.1225000,154.1130066,154.0850067,16.7007008,1.2590700,1.7790000,0.6955000,0.1304000,154.1580048,14.4953003,10.2926998,0.8141000,0.0773000,0.1741000,154.0850067
25,4259706.159000000000000,525210.537000000010000,FP,Bu,125.000000000000000,137.000000000000000,170.181839000000000,200.000000000000000,200.000000000000000,200.000000000000000,15.6212997,1.7402000,2.9826000,0.0210000,0.0000000,15.6241999,1.9381100,2.9215000,0.0475000,0.0000000,161.2429962,161.2409973,14.8176003,6.7611499,1.7454000,0.0105000,0.0000000,161.3930054,12.7966995,7.2583699,0.9299000,0.0046000,2.0097001,165.2980042
26,4259953.544999999900000,525041.202999999980000,FP,GoF,90.000000000000000,86.000000000000000,167.438828000000000,71.000000000000000,80.000000000000000,76.000000000000000,15.9068003,2.0102999,1.9608001,0.0040000,0.0000000,14.7376003,12.3734999,0.8147000,0.0025000,0.0000000,168.4570007,168.3760071,14.6527004,15.6805000,0.3054000,0.0001000,0.0000000,168.4570007,14.6787004,3.1657600,1.7981000,0.0103000,1.9535000,167.9570007
27,4259948.089999999900000,527225.773000000040000,FP,St,200.000000000000000,201.000000000000000,184.364822000000000,200.000000000000000,200.000000000000000,200.000000000000000,18.0123005,0.9800000,3.9631000,0.3525000,0.0000000,17.0279999,0.4203300,2.9879999,0.1915000,0.0000000,154.7940063,154.8119965,18.2341995,0.4962310,2.4956000,0.0112000,0.0000000,154.8009949,17.7483997,3.3919001,6.7145000,0.0038000,0.0000000,154.6779938
28,4256835.000000000000000,526239.000000000000000,FP,GID3,160.000000000000000,74.000000000000000,149.085692999999990,71.000000000000000,80.000000000000000,76.000000000000000,11.6159000,6.1476998,2.8151000,0.0337000,0.0000000,12.0858002,6.1068201,1.8935000,0.0333000,0.0000000,196.5379944,196.4349976,12.7103996,6.1859899,1.3983001,0.0115000,11.1302996,196.0000000,12.3142004,7.9128599,0.3598000,0.4654000,25.6753998,200.4060059
29,4256778.000000000000000,526145.000000000000000,FP,WeC2/GID3,114.000000000000000,137.000000000000000,165.793991000000010,127.000000000000000,109.000000000000000,95.000000000000000,8.7658997,7.5644002,2.7808001,3.3950000,3.4602001,9.7537003,6.8296700,1.8243001,0.0498000,7.0219002,202.3699951,202.3190002,11.5171003,6.0930500,1.5928000,0.0145000,16.6571999,201.7720032,11.6849003,1.4482501,6.5639000,1.4444000,28.9102993,203.7140045
30,4260568.203999999900000,530900.594000000040000,FP,HcgAH,110.000000000000000,201.000000000000000,169.025330000000000,200.000000000000000,200.000000000000000,200.000000000000000,15.9835997,1.9002000,3.8920000,0.0122000,0.0000000,16.3052998,1.8954000,2.9198999,0.0154000,0.0000000,184.2039948,184.1280060,16.5265999,1.4362100,1.5855000,0.0036000,0.0000000,183.9859924,16.5772991,1.8569500,0.9914000,0.0024000,0.0000000,183.9859924
31,4260499.412999999700000,530868.844000000040000,FP,HcgAH,150.000000000000000,201.000000000000000,169.921997000000000,200.000000000000000,200.000000000000000,200.000000000000000,16.2357006,1.7802000,3.1452000,0.0172000,0.0000000,16.3449993,2.0837700,2.7616999,0.0260000,0.0000000,182.8769989,182.9170074,16.7010002,3.1264100,1.9327000,0.0074000,0.0000000,182.8769989,11.8246002,10.0641003,0.8684000,0.0041000,0.4480000,184.9109955
32,4257093.174999999800000,526404.248000000020000,RT,ZnC2,105.000000000000000,81.000000000000000,197.379578000000010,201.000000000000000,178.000000000000000,152.000000000000000,7.2056999,4.4329000,0.0316000,3.7183001,11.9456997,8.1246996,4.0106802,0.1691000,2.6003001,13.1637001,196.1540070,196.0980072,10.0174999,2.1240399,0.0188000,1.9692000,18.8229008,196.5959930,11.6243000,7.1370902,1.3992000,0.6098000,19.7805004,196.2830048
33,4257037.611999999700000,526699.258999999960000,RT,ZnC3,100.000000000000000,81.000000000000000,200.171661000000000,201.000000000000000,178.000000000000000,152.000000000000000,7.7040000,2.7207000,0.0373000,3.8598001,10.9596996,8.4216995,2.8938401,0.1705000,2.8069999,12.9491997,198.6929932,198.6629944,9.9489002,3.8713601,0.0671000,1.9512000,21.9116001,198.2929993,11.4186001,8.2992001,0.2144000,0.7177000,22.0916996,197.4980011
34,4256551.379999999900000,530105.658000000050000,RT,AgrC2,200.000000000000000,64.000000000000000,200.831099999999990,229.000000000000000,229.000000000000000,229.000000000000000,7.5283999,1.0000000,0.0104000,3.9886999,11.4406004,8.4870996,1.9540800,0.0967000,2.9837999,12.5910997,212.5390015,212.5579987,10.2821999,2.6837699,0.0231000,1.9865000,22.5517006,212.3359985,11.4246998,8.0899801,0.0249000,0.9517000,30.8313007,209.8079987
35,4256101.614000000100000,530066.069999999950000,RT,AgrC2,130.000000000000000,64.000000000000000,186.359725999999990,229.000000000000000,229.000000000000000,229.000000000000000,7.9642000,6.6999998,0.0982000,3.9130001,23.5596008,8.6620998,6.2227702,0.4440000,1.4923000,23.6819992,211.8820038,211.9730072,10.0113001,5.4964900,0.0996000,1.8723000,24.1993999,211.4420013,11.6004000,6.5186100,0.0487000,0.9035000,34.9604988,212.7109985
36,4256729.207000000400000,530533.854000000050000,RT,AgrB,185.000000000000000,64.000000000000000,198.460403000000010,229.000000000000000,229.000000000000000,229.000000000000000,7.5043001,3.7618001,0.0929000,3.9861000,12.2607002,8.3816004,3.7260201,0.4356000,2.8848000,13.6310997,212.1060028,212.1849976,9.8831997,5.2649202,0.0714000,1.9740000,18.7702007,211.6750031,11.3164997,9.2352800,0.0334000,0.9506000,23.6221008,209.6109924
37,4257528.250000000000000,530700.542000000020000,RT,AgrB,136.000000000000000,64.000000000000000,200.429793999999990,229.000000000000000,229.000000000000000,229.000000000000000,7.8610001,2.6905999,0.0711000,5.3727999,4.6602998,9.0781002,3.6496899,0.7625000,2.8406999,8.2870998,220.7429962,220.8370056,10.7444000,3.6075101,0.5670000,2.6821001,11.8532000,220.2109985,12.1322002,3.1739399,6.6402001,3.9440000,27.1648006,220.2259979
38,4257959.144000000300000,532838.866999999970000,RT,AgrB,200.000000000000000,64.000000000000000,200.923630000000000,229.000000000000000,229.000000000000000,229.000000000000000,8.0162001,0.3900000,0.0093000,3.4012001,8.1351995,8.9306002,0.6234200,0.0474000,2.9574001,10.4670000,250.2749939,250.2960052,10.5232000,2.0148699,0.0363000,2.6963000,18.5639000,250.2530060,13.8725004,2.8771801,0.0033000,5.4829998,52.8492012,250.4080048
39,4258451.605000000400000,531040.750000000000000,RT,AgrC2,200.000000000000000,64.000000000000000,200.601395000000000,229.000000000000000,229.000000000000000,229.000000000000000,7.0046000,1.8102000,0.0066000,3.9473000,16.3250008,7.9761000,2.7188399,0.0471000,2.9507000,21.2936001,221.9190063,221.9969940,10.9302998,1.3499399,0.0315000,1.9809000,28.3722000,222.0449982,13.0228004,1.7760000,0.0406000,1.5809000,38.4793015,219.6600037
40,4257451.705000000100000,529124.245000000000000,RT,AgrA,180.000000000000000,76.000000000000000,199.473328000000010,229.000000000000000,229.000000000000000,229.000000000000000,7.7245998,3.6015999,0.0873000,4.9003000,10.0815001,8.5172005,3.2661300,0.3178000,2.9510000,13.9196997,213.3930054,213.2870026,10.0983000,3.1074400,0.0559000,3.6520000,28.8355999,213.4190063,12.1126003,3.1353400,6.7830000,2.9517000,44.9157982,211.5720062
41,4259301.120000000100000,527898.397000000000000,RT,AgrB,200.000000000000000,64.000000000000000,200.196777000000000,229.000000000000000,229.000000000000000,229.000000000000000,8.8023996,2.4505000,0.1215000,5.4447999,9.3283005,9.5993996,2.0877800,1.5556999,4.6975999,12.5396004,200.8150024,200.7960052,10.8135004,1.9771000,4.8894000,3.9616001,23.0685997,200.8150024,12.8099003,1.9038700,6.9570999,2.9617000,39.5486984,201.2960052
42,4259290.536000000300000,528020.106000000030000,RT,AgrA,200.000000000000000,76.000000000000000,200.798781999999990,229.000000000000000,229.000000000000000,229.000000000000000,8.1384001,1.2701000,0.0772000,5.0279002,13.5513000,9.0186996,1.1083300,0.3192000,3.9902000,16.6991997,202.6080017,202.5859985,10.7735004,1.0938700,4.8077002,3.9419000,25.6527004,202.5110016,12.9307003,0.8052330,6.9531999,2.9498000,39.9174995,202.5110016
43,4259709.901999999800000,528502.177999999960000,RT,AgrA,200.000000000000000,76.000000000000000,200.835128999999990,229.000000000000000,229.000000000000000,229.000000000000000,8.9366999,0.9900000,0.0373000,5.8102002,10.0072002,9.6813002,1.0013200,0.2314000,3.9760001,13.2519999,212.1679993,212.1289978,10.7995996,1.3249000,0.1045000,3.8083000,26.9328003,212.0310059,12.4705000,2.0486200,6.8927999,2.9784999,43.1365013,211.2769928
44,4260236.423000000400000,529033.462000000060000,RT,AgrB,177.000000000000000,64.000000000000000,188.120865000000010,229.000000000000000,229.000000000000000,229.000000000000000,8.9403000,3.6415999,0.3118000,5.9050002,1.6282001,9.8086004,3.1820300,2.0156000,0.6304000,2.7447000,208.8480072,208.7779999,11.4708996,2.8083999,1.5531000,3.3183999,8.6913004,208.9759979,13.5707998,2.8691199,6.8463998,2.9797001,35.8748016,208.6670074
45,4260740.184000000400000,530129.278999999980000,RT,AgrB,200.000000000000000,64.000000000000000,199.952271000000000,229.000000000000000,229.000000000000000,229.000000000000000,8.9287004,2.7907000,0.0968000,5.3758998,8.7566004,9.3765001,2.7458301,0.4476000,2.8721001,14.0383997,227.9040070,227.8670044,10.4210997,3.0333500,0.0877000,3.5555000,33.7349014,228.1040039,12.2581997,4.7186999,6.3376999,4.0984998,46.0400009,228.1799927
46,4261592.828999999900000,531439.741000000040000,RT,AgrC2,200.000000000000000,64.000000000000000,199.434998000000010,229.000000000000000,229.000000000000000,229.000000000000000,7.4449000,3.3913000,0.0280000,6.0012002,8.3023996,8.1212997,4.3410702,0.1907000,2.7493000,11.9302998,246.5160065,246.6150055,9.7835999,5.2738299,0.0344000,3.7918000,24.5125999,245.8910065,11.5834999,2.4595201,0.0173000,5.4789000,52.2184982,244.1799927
47,4261467.331000000200000,531031.984000000050000,RT,AgrB,155.000000000000000,64.000000000000000,195.829498000000000,229.000000000000000,229.000000000000000,229.000000000000000,8.8458004,3.2211001,0.2651000,3.7948000,4.1894999,9.6061001,2.8345699,1.5775000,2.8740001,8.0255003,238.3630066,238.2579956,11.0417995,2.3392701,0.4653000,2.6515000,28.7476006,238.3659973,12.9445000,1.8094200,0.2021000,4.5946002,47.4569016,238.8450012
48,4261620.788999999900000,531389.172000000020000,RT,AgrC2,200.000000000000000,64.000000000000000,191.548430999999990,229.000000000000000,229.000000000000000,229.000000000000000,6.9833999,5.2347999,0.0666000,5.9377999,8.7656002,8.0522003,4.8965201,0.2215000,3.0253999,12.3151999,246.6280060,246.7870026,9.6201000,3.4715199,0.0103000,3.8317001,26.5184002,246.1049957,12.7591000,0.4072290,4.5661001,5.7378998,52.3546982,244.1210022
49,4262672.392000000000000,527987.572000000040000,RT,AgrB,200.000000000000000,64.000000000000000,134.881499999999990,229.000000000000000,229.000000000000000,229.000000000000000,7.4603000,8.2687998,0.2186000,0.0527000,4.4776001,8.3097000,7.3678398,0.6532000,0.2463000,5.9282999,211.7270050,211.5319977,9.8191004,4.3964000,2.7944000,1.8605000,14.5809002,212.3970032,12.0691004,2.9742301,6.1022000,1.0832000,33.1217003,211.9519958
50,4261505.099000000400000,526658.087999999990000,RT,GID3,190.000000000000000,74.000000000000000,189.398665999999990,71.000000000000000,80.000000000000000,76.000000000000000,8.7993002,5.0643001,0.2115000,0.0670000,3.7327001,9.3295002,5.3493700,1.1402000,0.2519000,6.3986001,202.1009979,202.0130005,10.2957001,6.4395800,0.2276000,0.7356000,21.0739002,202.9680023,11.5698996,4.8714600,5.2716999,1.8594000,30.1802006,205.4210052
51,4257578.787999999700000,524005.153999999980000,RT,GID3,80.000000000000000,74.000000000000000,200.129807000000000,71.000000000000000,80.000000000000000,76.000000000000000,8.0319004,2.4805000,0.0172000,2.9123001,11.2117004,8.7574997,3.7117500,0.1639000,1.8850000,12.7075996,174.1459961,174.1560059,9.6760998,7.9429798,0.0702000,0.8832000,19.1900005,173.5249939,11.7944002,8.4264803,0.1171000,1.6540000,21.6000004,171.1840057
52,4257314.203999999900000,523386.027000000000000,RT,WeC2,175.000000000000000,137.000000000000000,144.446259000000000,155.000000000000000,181.000000000000000,165.000000000000000,6.5207000,9.4782000,0.0211000,2.9575000,13.5802002,7.9018998,6.9215398,0.1920000,1.8195000,14.8577995,176.0449982,176.3780060,9.4877996,5.9124498,0.0040000,1.0490000,21.7546005,176.1040039,11.3621998,5.8255401,0.0466000,0.8858000,24.8659992,174.1739960
53,4257195.140999999800000,522661.068000000030000,RT,ZnC2,192.000000000000000,81.000000000000000,200.699722000000010,201.000000000000000,178.000000000000000,152.000000000000000,8.2375002,1.5101000,0.0253000,3.9215000,18.4482994,8.8973999,1.3348700,0.2194000,2.9517000,18.6947002,176.0919952,176.0440063,10.7486000,1.0783600,0.0120000,1.9888000,27.0767994,176.1679993,11.2413998,5.9612098,0.0086000,1.3186001,27.6543007,175.8179932
54,4257105.012000000100000,522078.840000000030000,RT,ZnC2,200.000000000000000,81.000000000000000,196.821671000000010,201.000000000000000,178.000000000000000,152.000000000000000,7.6145000,4.6933999,0.0422000,3.9500999,8.2517004,8.2992001,5.7032700,0.2318000,1.6473000,8.6345997,156.4340057,156.5619965,9.8383999,5.8312502,0.1680000,1.7958000,8.8664999,156.4340057,11.5206003,3.6276500,6.9415998,1.9581000,8.6006002,156.1410065
55,4259132.017000000000000,522839.418999999990000,RT,ZnC2,115.000000000000000,81.000000000000000,102.686729000000000,201.000000000000000,178.000000000000000,152.000000000000000,6.8764000,9.9526997,0.0443000,4.9766998,24.3024006,7.6829000,8.5571003,0.1908000,1.3317000,29.0046005,225.7449951,225.4140015,9.8577995,2.9489999,0.0067000,3.4022000,49.1982994,226.5639954,11.8238001,3.6826100,0.0117000,2.7019000,69.3504028,226.7519989
56,4259878.024000000200000,523099.060999999990000,RT,ZnC2,120.000000000000000,81.000000000000000,111.686935000000010,201.000000000000000,178.000000000000000,152.000000000000000,8.6709995,9.2664003,0.2088000,1.2016000,16.5275993,9.2376003,9.2597599,0.6387000,0.1616000,19.7768002,210.2030029,209.8910065,10.0146999,8.9018097,0.1371000,0.8951000,30.4776001,209.8289948,11.2427998,11.2035999,0.0041000,0.9745000,49.1495018,209.7559967
57,4259688.961000000100000,524633.743999999950000,RT,TIB,190.000000000000000,79.000000000000000,200.498732999999990,188.000000000000000,174.000000000000000,188.000000000000000,7.6675000,2.2004001,0.0351000,4.4200001,23.2987003,8.5334997,2.0244000,0.1638000,2.9907999,30.5804005,221.9259949,221.8730011,10.3654003,1.4756600,0.0108000,2.7607000,45.3688011,221.7279968,11.7687998,6.9778600,0.0061000,1.7793000,57.2840004,221.0610046
58,4259924.440999999600000,524535.848000000000000,RT,TIB,185.000000000000000,79.000000000000000,191.262299000000010,188.000000000000000,174.000000000000000,188.000000000000000,8.0348997,4.4930000,0.0967000,3.5214000,17.3547993,8.5908003,5.9391699,0.5573000,0.5648000,23.1086998,220.1540070,220.3200073,10.2302999,7.2243500,0.2473000,0.6599000,39.3235016,220.1540070,11.3022003,12.3987999,0.2148000,0.3407000,50.4626007,217.3059998
59,4260371.952999999700000,528145.466999999950000,RT,AgrA,200.000000000000000,76.000000000000000,200.290527000000000,229.000000000000000,229.000000000000000,229.000000000000000,7.9703002,2.6406000,0.0489000,4.9858999,8.9207001,8.8441000,2.7261400,0.5946000,3.9821999,17.3995991,208.5209961,208.6150055,10.7096004,2.6516099,0.0895000,2.9902999,35.6817017,208.5059967,12.2510996,2.8691599,4.1086001,1.9881999,42.7616005,207.6369934
60,4256949.990000000200000,526144.949999999950000,RT,WeC2,145.000000000000000,137.000000000000000,188.382476999999990,155.000000000000000,181.000000000000000,165.000000000000000,7.2707000,6.8105001,0.1088000,3.8652999,15.0790005,8.1985998,5.1560702,0.2493000,1.9417000,18.2879009,211.3350067,211.1380005,9.9588003,7.9166498,0.1502000,1.6760000,28.0596008,210.4329987,11.2707996,5.0071902,0.0091000,1.5567000,38.2258987,211.7500000
